id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
3640,Davis,Anthony,NOR,PF,POR,39.00,29.61,0.41,11.86,2.15,1.22,3.76,1.80,10.44,7.50,2.11,10.85,9.47,0.65,0.01,10400,57,10300,18950,0,162200,0,18800,7400,PF,PF,PF,PF;C,,,,F,F
2872,Westbrook,Russell,OKC,PG,@ LAL,36.00,25.72,1.78,8.82,10.76,2.49,0.26,4.69,7.06,6.25,1.21,8.84,10.61,0.58,0.22,10400,57,10400,20000,0,166700,0,20700,7400,PG,PG,PG,PG,,,,G,G
2999,Curry,Stephen,GSW,PG,UTA,35.00,32.89,5.38,5.24,5.83,2.20,0.24,3.32,5.53,5.69,0.55,10.91,9.48,0.07,0.00,10900,59,10700,21300,0,166900,0,21300,7450,PG,PG,PG,PG;SG,,,,G,G
2011,James,LeBron,CLE,SF,NYK,37.00,25.21,1.10,7.80,6.61,1.50,0.93,2.64,8.29,5.32,2.20,9.39,9.94,0.31,0.03,10400,52,10100,19700,0,169900,0,20200,7550,SF,SF,SF,SF;PF,,,,F,F
3153,Cousins,DeMarcus,SAC,C,@ IND,35.00,24.81,0.93,12.57,2.69,1.27,1.67,3.53,7.37,7.28,2.26,8.30,10.66,0.76,0.01,9900,51,10000,19000,0,160400,0,19000,7350,C,C,PF,PF;C,,C,,C,C
3166,Wall,John,WAS,PG,MEM,38.00,23.27,1.72,4.59,10.67,1.71,0.66,4.76,6.68,4.75,1.20,8.40,10.39,0.58,0.02,10000,48,9700,18050,0,150800,0,18500,6200,PG,PG,PG,PG,,,,G,G
3001,Harden,James,HOU,SG,@ ORL,35.00,28.69,3.21,5.05,6.30,1.90,0.65,4.70,4.88,9.31,1.35,8.09,9.43,0.11,0.01,10600,56,10600,19900,0,160800,0,20200,7600,SG,SG,SG,SG;SF,,,,G,G
2718,Durant,Kevin,OKC,SF,@ LAL,37.00,26.46,2.48,7.65,4.94,1.03,0.75,3.05,6.29,6.44,0.91,8.77,8.71,0.31,0.01,10000,52,10200,18450,0,153800,0,19400,7250,SF,SF,SF,SF;PF,,,,F,F
3111,George,Paul,IND,SF,SAC,35.00,25.44,2.94,8.08,4.76,2.15,0.27,3.83,5.04,6.54,1.13,7.98,11.06,0.38,0.01,9100,47,8900,15900,0,132100,0,16500,6400,SF,PF,SF,SF;PF,,,,F,F
3464,Drummond,Andre,DET,C,@ ATL,35.00,17.58,0.00,17.20,0.90,1.47,1.25,2.45,7.68,2.22,3.42,7.68,6.08,0.92,0.00,9600,46,9400,18000,0,161600,0,19300,6800,C,C,C,PF;C,,C,,C,C
