playernm_full,playernm_first,playernm_last,pos,team,numberfire_id,cbssports_id,espn_id,fantasypros_id,foxsports_id,rotogrinders_id,rotowire_id,rotoguru_id
"Aaron Rodgers (QB, GB)",Aaron,Rodgers,QB, GB,10,419780,8439,9001,4822,11601,4307,1252
"Ryan Tannehill (QB, MIA)",Ryan,Tannehill,QB, MIA,4461,1273654,14876,11174,5025,13557,8040,1410
"Drew Brees (QB, NO)",Drew,Brees,QB, NO,5,235197,2580,9200,4787,11605,2178,1151
"Philip Rivers (QB, SD)",Philip,Rivers,QB, SD,4,493041,5529,9509,4863,11603,3766,1231
"Matthew Stafford (QB, DET)",Matthew,Stafford,QB, DET,46,1114942,12483,9451,4955,11613,5971,1340
"Tom Brady (QB, NE)",Tom,Brady,QB, NE,2,187741,2330,9603,4785,11604,1350,1131
"Matt Ryan (QB, ATL)",Matt,Ryan,QB, ATL,14,420095,11237,9444,4835,11614,5610,1301
"Peyton Manning (QB, DEN)",Peyton,Manning,QB, DEN,3,12531,1428,9507,4781,11849,902,1081
"Andrew Luck (QB, IND)",Andrew,Luck,QB, IND,4457,1631912,14874,11172,5153,13555,7237,1409
"Tony Romo (QB, DAL)",Tony,Romo,QB, DAL,8,396886,5209,9609,4857,11618,3153,1233
"Sam Bradford (QB, PHI)",Sam,Bradford,QB, PHI,2215,1123599,13197,9678,4993,11617,6452,1344
"Carson Palmer (QB, ARI)",Carson,Palmer,QB, ARI,16,396173,4459,9098,4816,11851,3014,1207
"Eddie Lacy (RB, GB)",Eddie,Lacy,RB, GB,52102,1691422,15848,11636,5288,16535,8620,2896
"Russell Wilson (QB, SEA)",Russell,Wilson,QB, SEA,4481,1272242,14881,11180,5087,13560,8043,1412
"Cam Newton (QB, CAR)",Cam,Newton,QB, CAR,4311,1273186,13994,9869,5024,11630,7257,1378
"DeMarco Murray (RB, PHI)",DeMarco,Murray,RB, PHI,4332,1123691,14005,9896,4992,11738,7359,2831
"Jamaal Charles (RB, KC)",Jamaal,Charles,RB, KC,204,564952,11307,9258,4937,11667,5663,2629
"Marshawn Lynch (RB, SEA)",Marshawn,Lynch,RB, SEA,245,504639,10456,9428,4902,11707,5202,2552
"Jay Cutler (QB, CHI)",Jay,Cutler,QB, CHI,37,409102,9597,9280,4799,11606,4783,1263
"Eli Manning (QB, NYG)",Eli,Manning,QB, NYG,11,493004,5526,9213,4861,11611,3763,1225
"Joe Flacco (QB, BAL)",Joe,Flacco,QB, BAL,15,1250697,11252,9300,4837,11610,5648,1302
"Colin Kaepernick (QB, SF)",Colin,Kaepernick,QB, SF,4320,1130583,14001,9891,4957,11640,7353,1404
"Andy Dalton (QB, CIN)",Andy,Dalton,QB, CIN,4319,1125961,14012,9907,4949,11633,7355,1403
"Matt Forte (RB, CHI)",Matt,Forte,RB, CHI,247,559687,11278,9437,4893,11675,5662,2613
"Marcus Mariota (QB, TEN)",Marcus,Mariota,QB, TEN,52775,1880862,17610,13890,5542,21686,10074,1466
"Teddy Bridgewater (QB, MIN)",Teddy,Bridgewater,QB, MIN,52433,1825122,16728,12088,5472,18114,9245,1439
"Ben Roethlisberger (QB, PIT)",Ben,Roethlisberger,QB, PIT,9,493043,5536,9039,4864,11615,3764,1232
"Adrian Peterson (RB, MIN)",Adrian,Peterson,RB, MIN,212,517568,10452,9006,4892,11669,5215,2553
"Jameis Winston (QB, TB)",Jameis,Winston,QB, TB,52774,1998197,17399,13891,5544,21745,10037,1465
"Odell Beckham (WR, NYG)",Odell,Beckham,WR, NYG,52424,1824823,16733,12127,5467,18222,9255,5323
"Randall Cobb (WR, GB)",Randall,Cobb,WR, GB,4330,1632091,14053,9902,5201,12905,7256,5125
"Calvin Johnson (WR, DET)",Calvin,Johnson,WR, DET,590,502629,10447,9094,4888,12198,5189,3677
"Josh McCown (QB, CLE)",Josh,McCown,QB, CLE,78,302085,3609,9327,4790,11880,2513,1175
"Antonio Brown (WR, PIT)",Antonio,Brown,WR, PIT,1480,1272852,13934,9808,5107,12322,6454,3474
"Jeremy Hill (RB, CIN)",Jeremy,Hill,RB, CIN,52421,1984260,16803,12102,5516,18042,9350,2928
"C.J. Anderson (RB, DEN)",C.J.,Anderson,RB, DEN,52346,1880820,16040,11896,5500,16963,8931,2924
"A.J. Green (WR, CIN)",A.J.,Green,WR, CIN,4312,1673207,13983,9857,5135,12897,7241,5091
"Lesean McCoy (RB, BUF)",Lesean,McCoy,RB, BUF,237,1243187,12514,9398,5054,11671,5970,2707
