rg_team,nf_team,cbs_team,espn_team,fantasypros_team,foxsports_team,rotowire_team,pinnacle_team,oddsshark_team
Arizona,ARI,ARI,Ari,ARI,Ari,ARI,Arizona Cardinals,Arizona
Atlanta,ATL,ATL,Atl,ATL,Atl,ATL,Atlanta Falcons,Atlanta
Baltimore,BAL,BAL,Bal,BAL,Bal,BAL,Baltimore Ravens,Baltimore
Buffalo,BUF,BUF,Buf,BUF,Buf,BUF,Buffalo Bills,Buffalo
Carolina,CAR,CAR,Car,CAR,Car,CAR,Carolina Panthers,Carolina
Chicago,CHI,CHI,Chi,CHI,Chi,CHI,Chicago Bears,Chicago
Cincinnati,CIN,CIN,Cin,CIN,Cin,CIN,Cincinnati Bengals,Cincinnati
Cleveland,CLE,CLE,Cle,CLE,Cle,CLE,Cleveland Browns,Cleveland
Dallas,DAL,DAL,Dal,DAL,Dal,DAL,Dallas Cowboys,Dallas
Denver,DEN,DEN,Den,DEN,Den,DEN,Denver Broncos,Denver
Detroit,DET,DET,Det,DET,Det,DET,Detroit Lions,Detroit
Green Bay,GB,GB,GB,GB,GB,GB,Green Bay Packers,Green Bay
Houston,HOU,HOU,Hou,HOU,Hou,HOU,Houston Texans,Houston
Indianapolis,IND,IND,Ind,IND,Ind,IND,Indianapolis Colts,Indianapolis
Jacksonville,JAC,JAC,Jac,JAC,Jac,JAX,Jacksonville Jaguars,Jacksonville
Kansas City,KC,KC,KC,KC,KC,KC,Kansas City Chiefs,Kansas City
Miami,MIA,MIA,Mia,MIA,Mia,MIA,Miami Dolphins,Miami
Minnesota,MIN,MIN,Min,MIN,Min,MIN,Minnesota Vikings,Minnesota
N.Y. Giants,NYG,NYG,NYG,NYG,NYG,NYG,New York Giants,NY Giants
N.Y. Jets,NYJ,NYJ,NYJ,NYJ,NYJ,NYJ,New York Jets,NY Jets
New England,NE,NE,NE,NE,NE,NE,New England Patriots,New England
New Orleans,NO,NO,NO,NO,NO,NO,New Orleans Saints,New Orleans
Oakland,OAK,OAK,Oak,OAK,Oak,OAK,Oakland Raiders,Oakland
Philadelphia,PHI,PHI,Phi,PHI,Phi,PHI,Philadelphia Eagles,Philadelphia
Pittsburgh,PIT,PIT,Pit,PIT,Pit,PIT,Pittsburgh Steelers,Pittsburgh
San Diego,SD,SD,SD,SD,SD,SD,San Diego Chargers,San Diego
San Francisco,SF,SF,SF,SF,SF,SF,San Francisco 49ers,San Francisco
Seattle,SEA,SEA,Sea,SEA,Sea,SEA,Seattle Seahawks,Seattle
St. Louis,STL,STL,StL,STL,StL,STL,St. Louis Rams,St. Louis
Tampa Bay,TB,TB,TB,TB,TB,TB,Tampa Bay Buccaneers,Tampa Bay
Tennessee,TEN,TEN,Ten,TEN,Ten,TEN,Tennessee Titans,Tennessee
Washington,WSH,WAS,Wsh,WAS,Was,WAS,Washington Redskins,Washington
